"title","artists","date","duration","genre","award","nation"
"Heaven","Bryan Adams","1985","4:04","Hard rock,,Power ballad","oro","can"
"I'm Your Man","Wham!","14 settembre 1985","","Dance pop","oro","can"
"I Was Made for Lovin' You","Kiss","20 maggio 1979","4:01","Hard rock,,Dance rock","oro","can"
"I Still Haven't Found What I'm Looking For","U2","15 maggio 1987","4:37","Rock,,Gospel","oro","can"
"I'll Be There","Jess Glynne","4 maggio 2018","3:13","Pop","oro","can"
"I Need a Dollar","Aloe Blacc","16 marzo 2010","4:04","Soul,,Blues","oro","can"
"It's a Heartache","Bonnie Tyler","1977","3:11","Country rock","oro","can"
"Island Girl","Elton John","29 settembre 1975","3:42","Rock","oro","can"
"Ilomilo","Billie Eilish","10 aprile 2020  (vedi date di pubblicazione)","2:36","Elettropop","oro","can"
"If I Never See Your Face Again","Maroon 5","2 maggio 2008","3:21,(Original Version),,3:18,(feat. Rihanna)","Rock elettronico,,Funk rock","oro","can"
"Japanese Boy","Aneka","maggio 1981","3:53","Disco,,Pop","oro","can"
"I'll Wait","Kygo,Sasha Sloan","3 aprile 2020","3:35","Electronic dance music","oro","can"
"Instruction","Jax Jones","16 giugno 2017","2:45","Elettropop","oro","can"
"I'm Ready","Sam Smith,Demi Lovato","16 aprile 2020","3:20","Pop","oro","can"
"I'm into You","Jennifer Lopez","1º aprile 2011","3:20","Contemporary R&B","oro","can"
"If I Lose Myself","OneRepublic","8 gennaio 2013  30 marzo 2013 (vs. Alesso)","4:01","Rock elettronico,,Pop rock","oro","can"
"The Judge","Twenty One Pilots","15 maggio 2015","4:57","Indie pop,,Pop rap","oro","can"
"In the Night","The Weeknd","17 novembre 2015","3:55","Synth pop,,Disco","oro","can"
"Keke","6ix9ine","14 gennaio 2018","2:31","Gangsta rap,,Crunkcore","oro","can"
"Jealous","Nick Jonas","8 settembre 2014","3:42","Elettropop,,Contemporary R&B,,Pop,,funk","oro","can"
"If You Love Somebody Set Them Free","Sting","9 luglio 1985","4:14","Pop rock,,Jazz,,Dance","oro","can"
"Karma Police","Radiohead","25 agosto 1997","4:24","Rock alternativo","oro","can"
"Kyrie","Mr. Mister","21 dicembre 1985","4:25,(versione album),,4:10,(versione singolo)","Pop rock,,New wave","oro","can"
"Lay It on Me","Vance Joy","12 luglio 2017","3:34","Pop","oro","can"
"Jumpsuit","Twenty One Pilots","11 luglio 2018","3:58","Rock alternativo","oro","can"
"Jumpman","Drake,Future","10 novembre 2015","3:25","Trap","oro","can"
"Level of Concern","Twenty One Pilots","9 aprile 2020","3:40","Dance pop,,Dance rock","oro","can"
"La La La","Naughty Boy","18 maggio 2013","3:43 (single version),,4:05 (video edit)","UK garage,,Pop","oro","can"
