"title","artists","date","duration","genre","award","nation"
"So What","Pink","15 agosto 2008","3:36","Dance rock,,Rock elettronico","1_platino","dk"
"Shut Up and Drive","Rihanna","12 giugno 2007 ( USA )  27 agosto 2007 ( UK )  28 settembre 2007 ( EUR )","3:33","Pop rock,,New wave","1_platino","dk"
"Skyfall","Adele","5 ottobre 2012","4:46","Soul,,Crossover classico","1_platino","dk"
"SOS","Rihanna","14 febbraio 2006  (Date di pubblicazione)","3:59","Dance pop,,Synth pop,,Contemporary R&B","1_platino","dk"
"Sign of the Times","Harry Styles","7 aprile 2017","5:40","Power ballad,,Pop rock,,Glam rock,,Soft rock","1_platino","dk"
"Sexy Chick","David Guetta","24 luglio 2009","3:16","Electro house,,Dance pop","1_platino","dk"
"Sicko Mode","Travis Scott","21 agosto 2018","5:12","Hip hop","1_platino","dk"
"Scared to Be Lonely","Martin Garrix,Dua Lipa","27 gennaio 2017","3:40","Future bass","1_platino","dk"
"Some Say","Nea","6 settembre 2019","2:55","Pop","1_platino","dk"
"South of the Border","Ed Sheeran","12 luglio 2019  (vedi date di pubblicazione)","3:24","Pop latino","1_platino","dk"
"Slide","Calvin Harris","23 febbraio 2017","3:50","Hip hop,,Funk,,Nu-disco,,Chillwave","1_platino","dk"
"Still D.R.E.","Dr. Dre","13 ottobre 1999","4:34","Gangsta rap,,G-funk","1_platino","dk"
"Stereo Love","Edward Maya","31 agosto 2009  (vedi sotto)","4:07","Electronic dance music","1_platino","dk"
"Súbeme la radio","Enrique Iglesias","24 febbraio 2017","3:28","Pop latino","1_platino","dk"
"Summer","Calvin Harris","14 marzo 2014","3:44","Electronic dance music","1_platino","dk"
"So Am I","Ava Max","7 marzo 2019","3:04","Pop","1_platino","dk"
"Solo","Clean Bandit","18 maggio 2018","3:42","Electronic dance music","1_platino","dk"
